,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F
0,CUNI-T2T-transfer-enkk.6554,0.41159182427194313,0.16247961,0.23298591385472747,0.8023457527160645,0.8005560636520386,0.8011971116065979
1,DBMS-KU_ENKK.6730,0.5092201205548785,0.14176326,0.2217835493567439,0.6783923506736755,0.6838545203208923,0.6808751821517944
2,MSRA.CrossBERT.6874,0.4097991896002883,0.16203497,0.2322414612930103,0.8052725791931152,0.798650324344635,0.8017221093177795
3,NEU.6755,0.39872282540725856,0.16288061,0.23128141380295492,0.811857283115387,0.8061071634292603,0.8087190985679626
4,NICT.6550,0.42847947169677647,0.15464494,0.2272660163251669,0.7739824056625366,0.7631862759590149,0.7680384516716003
5,online-B.0,0.3705585623672708,0.1664621,0.22972656044238507,0.832661509513855,0.8198592066764832,0.8259872198104858
6,online-G.0,0.38361977648384377,0.16458325,0.23034309102321077,0.8240428566932678,0.8093892931938171,0.816396951675415
7,rug_enkk_bpe.6804,0.39678557323355645,0.15905334,0.22708043406482004,0.8095625638961792,0.7879943251609802,0.7983064651489258
8,talp_upc_2019_enkk.6355,0.4392995519191244,0.15555343,0.22975274321213776,0.7735461592674255,0.7670682072639465,0.7700369954109192
9,UAlacant_-_NMT.6718,0.40445838119113176,0.16284649,0.23220187693214975,0.8105950951576233,0.8064450025558472,0.8082815408706665
10,UAlacant_-_NMT+RBMT.6722,0.40654188755083126,0.16258039,0.2322725362124176,0.8087581992149353,0.8050931096076965,0.8067048192024231
